,OrigCodeNew,DestCodeNew,TotalNoIntra,Orig,OrigCode,Dest,DestCode,Total,WorksFromHome,Underground,Train,Bus,Taxi,CarDrive,CarPass,Motobike,Bicycle,Walk,Other,vi1_origpop,vi2_origsal,wj1_destpop,wj2_destsal,offset,Dist,unconstrainedEst1,log_vi1_origpop,log_wj2_destsal,log_Dist,unconstrainedEst2,fitted,O_i,D_j,mu_i,prodsimest1,wj3_destsalScenario,prodsimest2,Ai1,A_i,prodsimest3,A_i2,prodsimest4
30,E09000006,E09000001,9855,Bromley,00AF,City of London,00AA,9855,0,173,8841,67,6,512,53,155,27,11,10,164000,19100,12000,38300,0.0,18740.82294890236,2849,12.007621706806335,10.553205175168737,9.83845946885716,6670,6670.241278643674,17331,40725,9.254455983540481,8458.0,38300,8458.0,0.80933604980853,0.60302531528305,8458.0,0.5460002094357317,7659.0
31,E09000006,E09000002,134,Bromley,00AF,Barking and Dagenham,00AB,134,0,3,10,0,0,118,3,0,0,0,0,164000,19100,56000,16200,0.0,19954.35099344796,1063,12.007621706806335,9.692766521220477,9.901202493448443,1480,1479.9471399617712,17331,674,9.254455983540481,1268.0,25000,3078.0,0.29453609376098666,0.60302531528305,1268.0,0.5460002094357317,2787.0
32,E09000006,E09000003,162,Bromley,00AF,Barnet,00AC,162,0,21,68,3,0,57,3,4,0,6,0,164000,19100,159000,18700,0.0,32662.258221615997,458,12.007621706806335,9.836278802842678,10.393975507478194,937,936.7052435976036,17331,8122,9.254455983540481,571.0,18700,571.0,0.054650247762358196,0.60302531528305,571.0,0.5460002094357317,517.0
33,E09000006,E09000004,3199,Bromley,00AF,Bexley,00AD,3199,0,3,103,266,6,2597,114,55,25,23,7,164000,19100,112000,18300,0.0,11733.6206399784,3472,12.007621706806335,9.814656338829511,9.370213558980089,3820,3820.47235720901,17331,3389,9.254455983540481,5271.0,18300,5271.0,0.5043762300847018,0.60302531528305,5271.0,0.5460002094357317,4773.0
34,E09000006,E09000005,201,Bromley,00AF,Brent,00AE,201,0,19,68,18,0,80,6,4,3,3,0,164000,19100,127000,16500,0.0,30382.587606589994,467,12.007621706806335,9.711115659888671,10.321624947196403,844,843.9254874269858,17331,7356,9.254455983540481,519.0,16500,519.0,0.049665259520152244,0.60302531528305,519.0,0.5460002094357317,470.0
35,E09000006,E09000007,3780,Bromley,00AF,Camden,00AG,3780,0,130,3155,58,3,284,24,86,27,7,6,164000,19100,101000,19800,0.0,24233.703798028306,881,12.007621706806335,9.893437216682628,10.095499662138094,1567,1566.7373515367474,17331,28270,9.254455983540481,1243.0,19800,1243.0,0.11893724803437163,0.60302531528305,1243.0,0.5460002094357317,1125.0
36,E09000007,E09000001,8795,Camden,00AG,City of London,00AA,8795,0,5738,1042,441,130,501,60,128,209,532,14,101000,19800,12000,38300,0.0,5742.818335746803,18684,11.522875795823396,10.553205175168737,8.655705368071944,15056,15056.173265655345,11769,40725,6.769062407201119,9663.0,38300,9663.0,11.100885851078088,0.0739651067287167,9663.0,0.07305002778981695,9544.0
37,E09000007,E09000002,36,Camden,00AG,Barking and Dagenham,00AB,36,0,11,6,0,0,16,0,3,0,0,0,101000,19800,56000,16200,0.0,20157.230195622356,641,11.522875795823396,9.692766521220477,9.911318321656124,623,622.9247178434787,11769,674,6.769062407201119,103.0,25000,251.0,0.2880129812158881,0.0739651067287167,103.0,0.07305002778981695,248.0
38,E09000007,E09000003,1496,Camden,00AG,Barnet,00AC,1496,0,310,79,270,3,664,40,12,31,84,3,101000,19800,159000,18700,0.0,8560.390051204864,4105,11.522875795823396,9.836278802842678,9.054901034827195,2635,2634.866077530864,11769,8122,6.769062407201119,922.0,18700,922.0,1.0595570275276343,0.0739651067287167,922.0,0.07305002778981695,911.0
39,E09000007,E09000004,32,Camden,00AG,Bexley,00AD,32,0,4,9,0,0,13,6,0,0,0,0,101000,19800,112000,18300,0.0,22882.83883278804,562,11.522875795823396,9.814656338829511,10.038142512656703,637,636.9197583409564,11769,3389,6.769062407201119,100.0,18300,100.0,0.11495685901419862,0.0739651067287167,100.0,0.07305002778981695,99.0
40,E09000007,E09000005,1350,Camden,00AG,Brent,00AE,1350,0,327,118,179,4,498,22,21,28,144,9,101000,19800,127000,16500,0.0,7774.499806421515,4392,11.522875795823396,9.711115659888671,8.958604401398715,2455,2455.283200776849,11769,7356,6.769062407201119,884.0,16500,884.0,1.015334809963109,0.0739651067287167,884.0,0.07305002778981695,873.0
41,E09000007,E09000006,60,Camden,00AG,Bromley,00AF,60,0,20,24,3,0,13,0,0,0,0,0,101000,19800,164000,19100,0.0,24233.703798028306,523,11.522875795823396,9.857443614034723,10.095499662138094,630,630.4087178571648,11769,5266,6.769062407201119,96.0,19100,96.0,0.11050119917211157,0.0739651067287167,96.0,0.07305002778981695,95.0
