Station,betweenness_centrality,closeness_centrality,infomation_centrality
Mansion House,0.014022556,7.58E-05,0.403198355
Blackfriars,0.01387218,7.56E-05,0.438109598
Wanstead Park,0.013659148,4.50E-05,0.497139605
Woodgrange Park,0.013333333,4.47E-05,0.50456809
Warwick Avenue,0.013258145,6.71E-05,0.522400503
Devons Road,0.012431078,5.97E-05,0.443636791
Peckham Rye,0.012431078,5.54E-05,0.478536056
Wandsworth Road,0.01226817,5.14E-05,0.506506267
Pudding Mill Lane,0.012092732,5.97E-05,0.575253188
Clapham Junction,0.011704261,5.38E-05,0.520693902
Bow Church,0.010764411,5.91E-05,0.499948479
Roding Valley,0.010175439,4.00E-05,0.388093968
Chalfont & Latimer,0.009987469,2.32E-05,0.295071686
Ickenham,0.009974937,3.24E-05,0.278641378
Deptford Bridge,0.009974937,4.93E-05,0.141609128
Cyprus,0.009974937,4.81E-05,0.200204924
London City Airport,0.009974937,4.98E-05,0.374568718
Harold Wood,0.009974937,3.08E-05,0.333796277
Queensbury,0.009974937,4.04E-05,0.501783208
South Ruislip,0.009974937,3.43E-05,0.341989063
Debden,0.009974937,3.36E-05,0.33367942
Southgate,0.009974937,4.19E-05,0.309722969
Turkey Street,0.009974937,3.64E-05,0.320947969
Wood Street,0.009974937,4.88E-05,0.473812281
Bushey,0.009974937,2.98E-05,0.223827827
Anerley,0.009974937,4.09E-05,0.240241877
Southfields,0.009974937,4.83E-05,0.27276745
Colindale,0.009974937,4.11E-05,0.263564211
Colliers Wood,0.009974937,4.39E-05,0.218429407
Woodside Park,0.009974937,4.04E-05,0.232505593
Barkingside,0.009887218,3.74E-05,0.369445796
Denmark Hill,0.009874687,5.34E-05,0.473725471
Hornchurch,0.009824561,3.29E-05,0.386021439
High Street Kensington,0.009360902,6.68E-05,0.61058264
West Acton,0.008947368,4.94E-05,0.505846936
Maida Vale,0.008922306,6.42E-05,0.498643193
Clapham High Street,0.008746867,5.12E-05,0.47446325
Ealing Broadway,0.006967419,4.72E-05,0.512974889
Goodge Street,0.006441103,7.67E-05,0.542821379
Kilburn Park,0.005651629,6.19E-05,0.517713767
Chigwell,0.005338346,3.69E-05,0.376724637
Fairlop,0.005175439,3.59E-05,0.358985033
Upminster Bridge,0.005162907,3.17E-05,0.381101169
Hillingdon,0.005,3.13E-05,0.253684126
Croxley,0.005,2.79E-05,0.313752274
Elverson Road,0.005,4.76E-05,0.131450952
Gallions Reach,0.005,4.65E-05,0.180828913
King George V,0.005,4.74E-05,0.32725646
Brentwood,0.005,2.65E-05,0.325607294
Canons Park,0.005,3.79E-05,0.448964052
Ruislip Gardens,0.005,3.33E-05,0.296541244
Theydon Bois,0.005,3.02E-05,0.32088362
Oakwood,0.005,3.89E-05,0.290571939
Heathrow Terminals 2 & 3,0.005,2.99E-05,0.207833206
Theobalds Grove,0.005,3.35E-05,0.304373123
Bush Hill Park,0.005,4.20E-05,0.328418512
Highams Park,0.005,4.34E-05,0.441605461
Kew Gardens,0.005,4.84E-05,0.489232206
Watford High Street,0.005,2.87E-05,0.209652311
Norwood Junction,0.005,3.82E-05,0.228143049
Wimbledon Park,0.005,4.53E-05,0.252645143
Burnt Oak,0.005,3.90E-05,0.244019661
South Wimbledon,0.005,4.19E-05,0.202172898
Totteridge & Whetstone,0.005,3.81E-05,0.218830822
Nine Elms,0.005,6.18E-05,0.564675178
Ravenscourt Park,0.003746867,5.83E-05,0.485610843
St. John's Wood,0.003734336,6.87E-05,0.618747457
Lambeth North,0.00264411,7.37E-05,0.556293221
Emerson Park,0.002368421,3.20E-05,0.383284156
Angel,0.002130326,7.58E-05,0.612543874
Old Street,0.001992481,7.48E-05,0.59471157
Upminster,0.001578947,3.06E-05,0.381400552
Stratford High Street,0.001503759,6.16E-05,0.520939828
Stamford Brook,0.001190476,5.71E-05,0.47370229
Swiss Cottage,0.001002506,6.62E-05,0.566647294
Abbey Road,0.00066416,6.10E-05,0.517100477
Grange Hill,0.000501253,3.52E-05,0.363992831
Hainault,0.000451128,3.49E-05,0.356679513
Aldgate,0.000388471,7.34E-05,0.572304371
Uxbridge,0,2.93E-05,0.242249482
Amersham,0,2.15E-05,0.285155647
Watford,0,2.64E-05,0.29573483
Chesham,0,2.02E-05,0.289671949
Star Lane,0,5.99E-05,0.578366855
Lewisham,0,4.63E-05,0.12025852
Tower Gateway,0,6.63E-05,0.554586583
Beckton,0,4.40E-05,0.170857173
Stratford International,0,5.83E-05,0.573687726
Woolwich Arsenal,0,4.25E-05,0.310563286
Shenfield,0,2.43E-05,0.313447493
Stanmore,0,3.59E-05,0.398658872
North Greenwich,0,5.94E-05,0.618050061
Brixton,0,5.81E-05,0.473354666
Marylebone,0,7.46E-05,0.543167754
West Ruislip,0,3.11E-05,0.280896373
Epping,0,2.80E-05,0.305962685
Cockfosters,0,3.70E-05,0.267495996
Heathrow Terminal 4,0,3.03E-05,0.207415684
Heathrow Terminal 5,0,2.78E-05,0.20104298
Cheshunt,0,3.19E-05,0.282122303
Enfield Town,0,3.97E-05,0.300435182
Chingford,0,3.86E-05,0.415976589
Richmond,0,4.38E-05,0.448823054
New Cross,0,5.72E-05,0.470618833
Crystal Palace,0,4.07E-05,0.289574804
Watford Junction,0,2.76E-05,0.197879291
West Croydon,0,3.43E-05,0.22128137
Battersea Park,0,4.85E-05,0.431819446
West Kensington,0,6.37E-05,0.540699219
Chiswick Park,0,5.40E-05,0.520594671
Wimbledon,0,4.22E-05,0.238147329
Edgware,0,3.69E-05,0.229312752
Morden,0,3.94E-05,0.192067716
Mill Hill East,0,4.15E-05,0.261232583
High Barnet,0,3.47E-05,0.211701189
Mornington Crescent,0,7.32E-05,0.534404616
Battersea Power Station,0,5.80E-05,0.466716374
