Station,degree centrality,betweenness centrality,closeness_centrality,infomation_centrality,harmonic_closeness
Stoke Newington,0.005,0.007209034,0.082850041,0.000428632,37.08337172673636
Goldhawk Road,0.005,0.007088256,0.073868883,0.000436343,53.940353557691274
Ealing Broadway,0.005,0.006796157,0.067385445,0.000412854,37.19460054022457
Shoreditch High Street,0.005,0.006752312,0.091491308,0.000485221,46.587078222364156
Rectory Road,0.005,0.006630505,0.081782866,0.000430167,48.33016412253205
Wapping,0.005,0.00653467,0.09596929,0.000502945,27.06604066
Cannon Street,0.005,0.00648914,0.10214504596527069,0.0005098,52.75254969059172
Caledonian Road,0.005,0.006257937,0.102014792,0.00050875,46.03281813216038
Latimer Road,0.005,0.006076078,0.073233248,0.000387535,24.507542872961196
Piccadilly Circus,0.01,0.005971083,0.10596026490066225,0.000566249,36.27919647097147
Kilburn,0.005,0.005747703,0.088948188,0.000456947,33.031786853472966
Haggerston,0.005,0.005458348,0.089786756,0.000449396,37.99622597885659
Upminster,0.005,0.005432331,0.053705693,0.000279732,37.411824934936035
Hoxton,0.005,0.00527833,0.089265789,0.000455016,49.523832209242684
Wimbledon Park,0.005,0.005,0.057529124119085284,0.000231282,26.949521711564834
Burnt Oak,0.005,0.005,0.056179775280898875,0.000194378,49.16197460800392
Ruislip Gardens,0.005,0.005,0.050922978994271166,0.000208229,41.40600734287889
Watford High Street,0.005,0.005,0.044301694539816146,0.000153191,50.97440213426236
Nine Elms,0.005,0.005,0.092506938,0.000435267,42.069707825564755
Canons Park,0.005,0.005,0.073923489,0.000308504,54.17010817270133
Kew Gardens,0.005,0.005,0.071263139,0.00038373,53.70951469736226
Highams Park,0.005,0.005,0.067877142,0.00032414,23.338410167141497
King George V,0.005,0.005,0.067294751,0.000287647,48.64441443104708
Bush Hill Park,0.005,0.005,0.063061643,0.000253183,35.374826766490116
Oakwood,0.005,0.005,0.058505192,0.000215425,32.86566671366011
Gallions Reach,0.005,0.005,0.056298381,0.000215634,28.418267133137615
Theobalds Grove,0.005,0.005,0.056093115,0.000211073,42.75718031669214
Theydon Bois,0.005,0.005,0.055073661,0.000202577,38.619925255193884
South Wimbledon,0.005,0.005,0.053619303,0.000188099,30.11184556187057
Croxley,0.005,0.005,0.053454497,0.000200725,36.43241080099922
Totteridge & Whetstone,0.005,0.005,0.05341167,0.00018137,28.99586203704602
Norwood Junction,0.005,0.005,0.052610812,0.000191342,46.31805758652362
Hillingdon,0.005,0.005,0.051706308,0.000205321,57.16082502939274
Brentwood,0.005,0.005,0.050263885,0.000214097,23.267973007330358
Elverson Road,0.005,0.005,0.050131595,0.000184727,38.29894407670537
Heathrow Terminals 2 & 3,0.0075,0.005,0.045095829,0.000180707,56.41136946988366
West India Quay,0.0075,0.004521846,0.086114101,0.00050506,35.65137783534584
Charing Cross,0.0075,0.004441908,0.10392309690828787,0.000549147,56.12431091440411
Neasden,0.005,0.004202172,0.086580087,0.000441301,38.471195436456725
Devons Road,0.005,0.004066344,0.081168831,0.000428312,36.04483931923453
Warwick Avenue,0.005,0.003959586,0.089525515,0.000472744,51.429718093224544
Shepherd's Bush Market,0.005,0.003832672,0.070921986,0.000405955,38.91479017601021
Kilburn Park,0.005,0.003793129,0.088378259,0.000460762,60.84223131529665
Wood Lane,0.005,0.003694081,0.070871722,0.000390695,31.12707952121312
East India,0.005,0.003660053,0.084192802,0.000477788,43.97879247945058
Rotherhithe,0.005,0.003582707,0.090702948,0.000495993,31.427026059028744
Hornchurch,0.005,0.003570384,0.052721761,0.000284143,51.709457200866154
Temple,0.005,0.003460735,0.096200096,0.000492979,54.929867996902246
Elephant & Castle,0.0075,0.003363617,0.094051258,0.000518378,31.462096647749895
Borough,0.005,0.003363007,0.095057034,0.000508503,41.23324003100911
Aldgate East,0.0075,0.003255589,0.099925056,0.00055027,41.997344591739015
Grange Hill,0.005,0.002838346,0.058411215,0.000264448,30.302572287373085
Fairlop,0.005,0.002713033,0.058326042578011085,0.000264149,63.92832685889993
Leicester Square,0.01,0.002672579,0.10101010101010101,0.000555763,33.81381092921713
All Saints,0.005,0.00260993,0.079255003,0.000452568,50.000761196820754
Stepney Green,0.005,0.002513814,0.092872069,0.000518502,39.43608888856479
Mansion House,0.005,0.002419591,0.092872069,0.000472183,52.68356058010006
Tower Hill,0.0075,0.002399332,0.10227563283047814,0.000548032,51.94093806
Upminster Bridge,0.005,0.002361111,0.052022369618936144,0.000280491,56.60044793527793
Holloway Road,0.005,0.002230159,0.094540298,0.000478092,30.351519724672972
Lambeth North,0.005,0.002224616,0.10106114199090449,0.000511375,41.39788578
Maida Vale,0.005,0.002150167,0.085543199,0.000454149,38.6377078
Stratford High Street,0.005,0.002029923,0.094585008,0.000501778,50.187214720264514
Blackwall,0.005,0.001998747,0.081300813,0.000470917,48.947783155097646
St. John's Wood,0.005,0.001807734,0.098328417,0.000506033,33.70628856381658
Langdon Park,0.005,0.001467419,0.076760699,0.000430325,41.17497432011178
Ravenscourt Park,0.005,0.001379719,0.073732719,0.000441908,26.66548388796933
Willesden Green,0.005,0.001211362,0.082321465,0.000428813,35.336702033315724
Arsenal,0.005,0.00094716,0.088987764,0.000482756,48.873396690430866
Blackfriars,0.005,0.000905388,0.091659028,0.000467261,39.805773053542126
Bromley-by-Bow,0.005,0.000853921,0.089625812,0.00049623,27.872501509544627
Covent Garden,0.005,0.000751551,0.098570724,0.000518589,39.78808758153063
Stamford Brook,0.005,0.000649053,0.072886297,0.000439935,49.19295666
Goodge Street,0.005,0.000503133,0.099527246,0.000521519,50.73170829428597
Dollis Hill,0.005,0.000438596,0.081218274,0.000424109,32.098219661938245
Swiss Cottage,0.005,0.000434419,0.093131548,0.000496447,39.37252205983407
Aldgate,0.005,0.00040503,0.099378882,0.000524833,45.15467783894975
Hainault,0.005,0.000382206,0.055286800276434005,0.000262381,46.87122012535275
Abbey Road,0.005,0.000381161,0.089166295,0.000495336,37.71913499581299
Bow Road,0.005,0.000359023,0.089027376,0.000497027,40.92697489
Enfield Town,0.0025,0,0.059329575793533075,0.000229953,49.83978498281928
Cockfosters,0.0025,0,0.055279159756771695,0.000198374,36.93051180362289
Beckton,0.0025,0,0.053304904051172705,0.000198551,43.55712288959915
Edgware,0.0025,0,0.053198563638781754,0.000180388,53.87272365558668
Uxbridge,0.0025,0,0.049170251997541485,0.000189774,33.57417356709525
Shenfield,0.0025,0,0.047864066052411156,0.000197247,28.60217516835916
Amersham,0.0025,0,0.046168051708217916,0.00016226,51.81559652403232
Chesham,0.0025,0,0.046168051708217916,0.00016226,40.477746147751674
Heathrow Terminal 5,0.0025,0,0.043154601359369944,0.000168554,22.063597639459065
Marylebone,0.005,0,0.099975006,0.000515475,39.47534400381079
Mornington Crescent,0.005,0,0.099502488,0.000490693,50.90030810263034
Stratford International,0.0025,0,0.094540298,0.000465821,44.50609326515527
Tower Gateway,0.0025,0,0.094095507,0.00045747,33.02370961112149
Star Lane,0.005,0,0.090232348,0.000498269,33.410198667070084
Battersea Power Station,0.0025,0,0.084691933,0.000370859,34.68885316639663
Brixton,0.0025,0,0.084405993,0.000385303,37.78029191292254
West Kensington,0.005,0,0.083664505,0.000484888,46.09844011106248
New Cross,0.0025,0,0.081766149,0.000397575,50.6878156
Chiswick Park,0.005,0,0.073556455,0.000441083,48.076903298164765
Battersea Park,0.0025,0,0.072411296,0.000344981,44.782551539896225
Stanmore,0.0025,0,0.068846816,0.000274691,55.49846607211187
Richmond,0.0025,0,0.066533599,0.000332779,29.49627024556349
Chingford,0.0025,0,0.063572791,0.000287019,49.19011937065363
Woolwich Arsenal,0.0025,0,0.063061643,0.000258032,32.837735388281274
Mill Hill East,0.0025,0,0.059674772,0.000211524,49.755893756450895
Crystal Palace,0.0025,0,0.058676837,0.000225213,47.00330495
Wimbledon,0.0025,0,0.054406964,0.000211742,50.05289995092652
Cheshunt,0.0025,0,0.05312085,0.000194677,49.56641221265858
Epping,0.0025,0,0.05220569,0.000187428,54.811023634088905
Morden,0.0025,0,0.050897061,0.000174967,54.65113287708414
Watford,0.0025,0,0.050748541,0.000185841,50.58695562263701
High Barnet,0.0025,0,0.050709939,0.00016913,48.46436222016737
West Croydon,0.0025,0,0.049987503,0.00017777,22.38277542
West Ruislip,0.0025,0,0.048461352,0.000192255,51.18564263289422
Lewisham,0.0025,0,0.047744092,0.000172046,49.85384464737356
Heathrow Terminal 4,0.005,0,0.045090745,0.000180686,39.36321223939422
Watford Junction,0.0025,0,0.042426814,0.000144367,43.99503738738207
