mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
749,719,8.345,96.849,97.938,85.995,23.82,9.075,DLR
749,750,0.0,3.411,16.518,6.894,5.903,1.317,DLR
749,757,12.617,95.159,122.438,189.83301,41.997,17.843,DLR
749,860,0.0,1.735,3.717,1.612,1.349,1.1,DLR
749,861,0.0,1.725,0.60400003,0.722,0.438,0.029000001,DLR
749,862,0.0,3.4390001,5.3320003,2.323,0.55,0.425,DLR
749,864,0.229,0.828,2.054,1.305,0.313,0.0,DLR
749,865,2.181,0.48,2.452,1.198,0.691,0.526,DLR
749,879,0.0,0.183,3.997,1.5320001,0.035,0.002,DLR
749,883,0.0,6.639,6.932,2.908,1.766,1.621,DLR
749,884,0.322,19.228,44.693,15.639,17.579,5.406,DLR
749,886,0.487,1.531,7.452,1.979,2.104,2.712,DLR
749,887,0.0,4.2929997,3.795,1.044,1.017,0.513,DLR
749,888,0.0,4.772,2.376,2.885,2.726,2.159,DLR
749,889,8.203,22.023,24.067,13.11,8.695,0.526,DLR
749,890,0.0,3.013,6.19,2.8569999,1.334,0.0,DLR
749,891,0.0,1.727,2.332,2.729,0.722,1.294,DLR
749,893,0.0,3.943,6.403,3.27,2.582,0.553,DLR
749,894,0.0,5.208,7.256,2.308,1.926,1.432,DLR
749,895,0.0,0.492,2.152,3.133,0.465,0.0,DLR
750,504,4.3589997,33.628,45.918,17.67,7.575,6.153,DLR
750,513,0.629,0.022,0.0,0.327,0.0,0.0,DLR
750,523,1.191,5.027,8.044,5.027,2.262,0.0,DLR
750,533,0.768,4.265,4.837,4.069,5.396,0.383,DLR
750,538,1.353,8.75,1.209,1.05,0.571,0.0,DLR
750,559,0.0,2.244,2.722,2.429,1.67,1.393,DLR
750,573,14.623,32.588,14.268001,16.723999,9.9470005,4.173,DLR
750,719,69.612,285.007,306.091,218.334,68.237,29.67,DLR
750,749,0.0,10.494,23.129,10.422,1.915,0.749,DLR
750,757,33.767,130.271,74.013,68.229,18.956,6.177,DLR
750,842,0.189,1.143,2.158,0.67,0.604,0.0,DLR
750,853,0.919,8.225,1.555,0.959,0.157,0.134,DLR
750,854,0.0,1.406,2.404,0.365,0.0,0.241,DLR
